trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20251020,27461.45,21642.24,115299.6,119431.69,234731.29,49103.69
20251021,27486.69,21628.71,120831.11,126034.69,246865.8,49115.4
20251022,27553.62,21661.96,105125.64,108666.49,213792.13,49215.58
20251023,27601.32,21667.7,98041.38,101864.94,199906.32,49269.02
20251024,27608.36,21694.8,108683.73,113297.12,221980.85,49303.16
20251027,27624.82,21707.08,137399.81,140584.61,277984.42,49331.89
20251028,27642.94,21711.54,117001.21,120131.96,237133.17,49354.48
20251030,27709.05,21781.84,147672.92,144400.65,292073.57,49490.89
20251031,27766.77,21811.31,139745.57,144512.11,284257.68,49578.08
20251103,27779.81,21852.99,132332.28,135410.14,267742.42,49632.8
20251104,27831.82,21899.3,120161.36,120748.98,240910.34,49731.12
20251105,27865.41,21969.44,109378.96,119302.89,228681.85,49834.85
20251106,27878.93,22010.72,119876.27,124329.29,244205.56,49889.64
20251107,27915.79,22049.08,111774.49,124081.26,235855.75,49964.87
20251110,27927.31,22104.1,116913.46,126723.32,243636.78,50031.41
20251111,27954.12,22121.96,103781.35,119586.24,223367.59,50076.08
20251112,27988.09,22130.85,107176.37,118889.07,226065.44,50118.94
20251113,27966.81,22116.92,105544.57,119876.62,225421.19,50083.73
20251114,28039.54,22173.06,99011.2,110810.92,209822.12,50212.6
20251117,28082.89,22214.19,100413.39,112587.32,213000.71,50297.08
20251118,28110.34,22261.4,100556.62,117616.32,218172.94,50371.74
20251119,28135.23,22302.42,89122.94,102163.33,191286.27,50437.65
20251120,28213.31,22384.26,88440.13,103614.65,192054.78,50597.57
20251121,28218.29,22380.33,112520.03,120882.31,233402.34,50598.62
20251124,28239.06,22445.27,114653.1,121654.54,236307.64,50684.33
20251125,28310.43,22485.55,97982.75,117323.55,215306.3,50795.99
20251126,28296.1,22460.37,88730.42,111977.04,200707.46,50756.47
20251127,28302.45,22467.3,88215.35,104328.37,192543.72,50769.75
20251128,28311.78,22485.25,86748.34,99604.9,186353.24,50797.02
20251201,28304.13,22514.38,110272.16,119490.55,229762.71,50818.51
20251202,28314.43,22545.09,81036.6,98723.57,179760.17,50859.52
20251203,28319.91,22562.4,83656.02,103652.91,187308.93,50882.31
20251204,28309.9,22587.21,78989.2,95214.3,174203.5,50897.11
20251205,28305.96,22604.56,88576.26,104108.7,192684.96,50910.52
20251208,28317.04,22608.88,101912.92,120655.9,222568.82,50925.92
20251209,28313.52,22617.71,99645.6,119954.43,219600.03,50931.23
20251210,28281.31,22639.74,92187.99,112225.99,204413.98,50921.04
20251211,28278.1,22650.85,94198.22,111888.9,206087.12,50928.95
20251212,28212.15,22663.93,149883.45,159800.24,309683.69,50876.09
20251215,28217.04,22695.59,99385.28,112820.3,212205.58,50912.63
20251216,28205.98,22707.47,96118.85,111516.58,207635.43,50913.45
20251217,28228.17,22764.38,96473.91,116286.42,212760.33,50992.55
20251218,28217.22,22787.9,83088.73,100308.98,183397.71,51005.12
20251219,28207.95,22830.88,94048.97,104891.57,198940.54,51038.83
20251222,28199.71,22870.37,81043.73,101117.4,182161.13,51070.08
20251223,28193.89,22882.3,83000.47,97437.47,180437.94,51076.19
20251224,28188.37,22876.07,74353.71,92824.14,167177.85,51064.44
20251229,28185.07,22845.23,103201.17,121977.15,225178.32,51030.3
20251230,28171.8,22820.06,107487.1,130531.33,238018.43,50991.85
20251231,28202.77,22823.57,98291.61,124022.76,222314.37,51026.34
20260105,28300.86,22912.71,135207.5,160697.25,295904.75,51213.57
20260106,28310.61,22931.75,147945.24,170645.74,318590.98,51242.36
20260107,28345.51,22988.63,150892.04,175966.88,326858.92,51334.14
20260108,28305.83,22979.3,148412.65,176343.8,324756.45,51285.13
20260109,28322.43,23030.85,166431.01,203212.11,369643.12,51353.28
20260112,28337.89,23088.45,172857.97,226122.22,398980.19,51426.34
20260113,28339.38,23099.92,182490.64,238444.93,420935.57,51439.31
20260114,28364.52,23103.44,202711.86,260920.94,463632.8,51467.96
